District,Type,X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,state
Lower Dibang Valley,Total,-0.22714653573605528,-1.679853921015022,-1.782042935399214,-0.7272803873220098,-1.6941903029824623,-1.747801443402912,-1.820512774290735,-0.7128837182233043,0.5377678886264182,-1.4086095700947703,0.14306274622962978,1.1461729441995332,-1.4891663351253512,0.2052751140116808,AR
Lohit,Total,-0.36988604679163656,-0.43465262967307994,-0.7217775094335336,-0.04570476174083087,-0.39350917268131846,-1.0871505475316685,0.17162187346261418,-1.033691929665282,0.031482285012440075,-0.9369085833664978,0.10002279918576862,0.3554927480093784,-0.7692585091591311,0.05747536551781952,AR
Anjaw,Total,-0.28881554779404933,-1.3571645619782382,-1.6747541720574493,-1.515617340146713,-1.7090244060755806,-1.7815081217636901,-1.255813189100809,-0.5994551006063191,1.5870093148077236,-1.5401999741176788,-0.2977706507650715,0.5845007316620149,-1.9224757848775311,-0.14109038354567283,AR
Kokrajhar,Total,-0.23061108697526825,-0.08007396927266111,-0.974221658472982,-1.6973237050578778,-0.7056996150501257,-1.0744169134842634,-0.8244454504140606,-1.5469850679724464,0.11901764638495035,-0.5684554521023536,-0.6368732638379189,-0.36769035826210444,-0.4937487605962292,-0.9944732791971861,AS
Dhubri,Total,-0.625569928245567,-1.2493483526059483,-3.0042933569985406,-2.7720072640655444,-3.200526044347291,-3.14925022591436,-2.101742131200797,-1.55271378603391,-0.0820771027140596,1.1320974614244652,0.21088326884419917,0.45191716217890954,0.5212871551618299,-0.8530996067247967,AS
Goalpara,Total,0.19899326668716197,0.4438216959870587,-0.8795551025831885,-1.4003716690162853,-0.9282111614468997,-0.6474656542477453,-0.6395735624054538,-0.16636401515964955,0.26096688104307497,0.656347539187796,0.19784086064908993,0.3072805409246131,0.563935723050824,-1.2772206241419644,AS
Barpeta,Total,-0.029667115100905413,-1.0291603193808487,-2.5204420713395983,-1.9306431619477,-1.5822602523707514,-1.089397659422387,-1.22220011855379,-1.0715014688709434,-0.09390620560223682,0.5551241514778662,-0.519491590081933,-0.44000866888925266,0.01803405407169982,-1.6499330333873543,AS
Morigaon,Total,0.35836262369096644,0.6867878016147547,0.08814746873469492,-1.6831831319130397,-0.719185163316597,-0.07070693562999378,-0.8468541641120735,-1.111602495301191,-0.4369501893593715,0.22108697203509778,-1.3411633063738322,-1.6212077424660079,-0.6046350371076139,-1.135846951669575,AS
Nagaon,Total,0.3791499311262451,-0.6039696345323806,-1.1951102888824983,-1.4286528153059606,-1.5552891558378092,-0.9320998270720915,-1.2053935832802802,-0.9798419798875212,-0.10573530849041385,0.22108697203509778,-0.9498910605205468,-0.7774941184826112,-0.13550079032867896,-1.315777080270798,AS
Sonitpur,Total,0.032694807204930613,0.17048482715590052,-0.921629127423097,-1.5417774004646625,-0.827069549448366,-0.7448405028455485,-0.5219278154908863,-0.046060935868907846,-0.2003681315958302,-0.7607798887512203,0.11958641147843269,0.7894026117722683,-0.5108081877518271,-1.8555674660744657,AS
Lakhimpur,Total,0.7741087723965439,0.4665997683896553,-0.2168892113546384,-1.0609979135401801,0.13040437747108605,-0.1381202923515486,-0.23061453741671814,-0.6704912045684714,0.17816316082583566,-0.7000458561252623,-1.2237816326178468,-0.7774941184826112,-0.7411104543523951,-1.5471158170437984,AS
Dhemaji,Total,0.4207245459968035,0.7779000912251409,0.5299247295537288,-0.7923270237882629,0.1708610222705001,-0.07070693562999378,0.31279676976009535,-0.9110973631499548,0.09535944060859632,-0.07246085232369823,-1.8759020423733221,-1.6453138460083907,-1.4576063948874955,-1.0908644195192696,AS
Tinsukia,Total,-0.6047826208102878,0.6943804924156203,-0.2063707051446605,0.04196679175716266,0.3798870204008028,0.6933111072143018,0.07750527593095952,0.1200718879135448,-0.29500095470124676,-0.02184915846873337,-0.7542549375939043,-1.3078283964150321,-0.016084800239495326,-0.8530996067247967,AS
